,L,Vd,Lc,D,Fec,Ffoc,Fdoc
0,0,2,1,0,1.0,1,1
1,0,2,1,0,1.0,1,1
2,0,2,1,0,1.0,1,1
3,0,2,1,0,1.0,1,1
4,0,2,1,0,1.0,1,1
5,0,2,1,0,1.0,1,1
6,2,2,1,1,1.0,1,0
7,2,2,1,1,0.0,1,0
8,0,2,1,0,1.0,1,1
9,0,2,1,0,1.0,1,1
10,0,2,1,0,1.0,1,1
11,0,2,1,0,1.0,1,1
12,0,2,1,0,1.0,1,1
13,1,2,1,2,1.0,0,1
14,1,2,1,2,1.0,0,1
15,1,2,1,2,1.0,0,1
16,0,2,1,0,1.0,1,1
17,0,2,1,0,1.0,1,1
18,0,2,1,0,1.0,1,1
19,0,2,1,0,1.0,1,1
20,1,2,1,2,1.0,0,1
21,1,2,1,2,1.0,0,1
22,1,2,1,2,1.0,1,0
23,2,2,1,1,1.0,1,0
24,2,2,1,1,0.0,1,0
25,2,2,1,1,1.0,1,0
26,2,2,1,1,0.0,1,0
27,1,2,1,2,1.0,0,1
28,0,2,1,0,1.0,1,1
29,0,2,1,0,1.0,1,1
30,0,2,1,0,1.0,1,1
31,0,2,1,0,1.0,1,1
32,2,2,1,1,1.0,1,0
33,1,2,1,2,0.0,1,0
34,1,2,1,2,0.0,1,0
35,1,2,1,2,0.0,1,0
36,0,2,1,0,0.0,1,1
37,0,2,1,0,0.0,1,1
38,0,2,1,0,0.0,1,1
39,0,2,1,0,0.0,1,1
40,0,2,1,0,0.0,1,1
41,0,2,1,0,0.0,1,1
42,0,2,1,0,0.0,1,1
43,0,2,1,0,0.0,1,1
44,0,2,1,0,0.0,1,1
45,0,2,1,0,0.0,1,1
46,0,2,1,0,0.0,1,1
47,0,2,1,0,0.0,1,1
48,0,2,0,1,0.0,1,1
49,1,2,1,2,1.0,0,1
50,1,2,1,2,1.0,0,1
51,1,2,1,2,1.0,0,1
52,1,2,1,2,1.0,0,1
53,2,2,1,1,1.0,1,0
54,1,2,1,2,0.0,1,0
55,1,2,1,2,0.0,1,0
56,1,2,1,2,0.0,1,0
57,2,2,1,1,0.0,0,1
58,2,2,1,1,1.0,1,0
59,2,2,1,1,0.0,0,1
